Site no.,Country,Survey year,Latitude,Longitude,Altitude,Inclination,Mangement type,Grazing intensity,vegetation height,Soil depth,Topsoil pH,Subsoil pH,Topsoil Al,Topsoil Ca,Topsoil Fe ,Topsoil Mg,Topsoil Mn,Topsoil Zn,Topsoil NO3,Topsoil NH4,Topsoil Olsen P,Topsoil C,Topsoil N,Agrostis P,Agrostis N,Agrostis C,Galium P,Galium N,Galium C,Rhytidiadelphus P,Rhytidiadelphus N,Rhytidiadelphus C
UK201,Great Britain,2002,-4.896,57.7433,282,35,0,1,20,,4.76,5.17,71.79,189.2,25.65,46.69,64.76,0,3.59,70.71,18.52,16.01,0.88,0.49,13.03,448.5,1.08,22.04,473.9,0.22,8.26,473
UK202,Great Britain,2002,-4.484,58.2291,208,30,0,1,20,,3.94,3.81,33.73,1753.49,61.85,91.06,5.62,22.44,3.41,31.51,86.41,31.81,1.07,1.27,16.68,449.7,2.24,22.21,481.8,0.93,10.33,463.8
UK203,Great Britain,2002,-6.065,56.704,60,0,0,2,10,,4.73,5.02,237.3,1096.37,43.47,197.99,39.56,16.52,4.56,84.3,40.14,14.99,0.85,1.61,16.8,433.8,1.6,20.46,480.4,0.81,10.87,450.8
UK204,Great Britain,2002,-4.166,57.0696,304,0,0,1,25,,5.37,5.23,41.52,1204.8,23.9,82.43,11.3,0,11.26,20.5,31.69,7.4,0.43,1.37,16.91,447.3,2.85,24.51,481.5,0.96,10.03,461.3
UK205,Great Britain,2002,-3.701,56.7183,281,5,0,1,35,,4.82,4.88,396.38,232.02,36.09,72.49,41.52,3.11,5.5,81.56,1.82,6.06,0.36,1.96,17.47,445.8,3.67,25.83,473.3,1.52,12.06,454.1
UK206,Great Britain,2002,-3.769,52.3472,341,23,0,3,2,,4.01,4.59,581.32,205.17,122.24,128.61,27.11,1.81,4.85,54.64,20.31,14.91,0.96,1.45,20.88,442.7,1.55,22.15,470.3,0.81,13.23,456.8
UK207,Great Britain,2002,-3.793,52.1859,357,35,0,1,30,,3.92,4.3,636.54,196.28,93.92,115.11,37,0.85,5.03,54.69,19.76,12.31,0.81,1.1,16,444.9,1.55,23.89,471.1,0.54,11.14,471.6
UK208,Great Britain,2002,-3.855,52.1535,381,6,0,2,8,,4.24,4.68,440.15,1449.27,64.01,151.3,23.24,3.61,21.03,12.22,19.36,14.55,0.88,1.53,20.16,450.9,1.48,25.14,472.5,1.19,13.33,469.4
UK209,Great Britain,2002,-1.656,50.8656,60,5,0,3,2,,3.93,4.2,228.71,209.33,63.25,50.45,56.88,0,7.01,22.68,9.23,4,0.23,1.89,26.39,433.8,2.88,28,466.1,0.78,10.58,437.5
UK210,Great Britain,2002,-1.654,50.8125,60,1,0,3,2,,4.24,4.19,409.83,203.71,39.96,67.62,26.81,0,4.77,32.78,11.18,6.22,0.31,1.19,30.9,432.1,1.09,27.66,468.8,,,
UK211,Great Britain,2002,-1.716,50.8954,70,12,0,3,2,,4.28,4.45,69.83,1471.36,24.5,172.04,54.32,0,5.33,45.08,7.9,15.9,0.66,0.91,22.03,442,1.43,28.25,464.5,0.4,11.7,448.4
UK212,Great Britain,2002,-3.552,51.2146,229,5,0,2,3,,4.2,3.32,505.51,507.52,22.19,149.14,195.78,11.85,15.89,53.36,18.78,10.3,0.66,0.31,31.74,442.1,1.47,20.31,464.2,0.77,11.55,457.4
UK213,Great Britain,2002,-2.421,54.5969,283,2,0,3,5,,4.93,5.01,366.31,1277.59,25.1,119.83,51.61,0,13.21,88.11,7.56,6.88,0.5,1.3,17.76,450.1,1.81,24.86,479,2.06,11.74,448
UK214,Great Britain,2002,-3.134,54.8979,15,0,0,3,3,,4.92,4.85,268.37,960.83,22.34,88.1,22.49,0.25,5.13,53.22,6.45,9.52,0.49,1.65,17.24,439.9,1.91,29.49,481.1,1.37,11.43,449.1
UK215,Great Britain,2002,-3.14,54.8997,16,0,0,2,5,,4.07,4.06,43.07,911.13,22.34,17.07,5.27,0,12.26,87.14,14.47,40.63,1.57,1.94,14.91,454.3,1.52,16.92,476.5,0.91,12.05,458.3
